ZIP,total_evs,total_charging_stations,median_income,evs_per_station
98052,6807.0,101.0,120.1034876,66.73529411764706
98012,5397.0,5.0,81.71198435,899.5
98033,4603.0,37.0,149.7926526,121.13157894736842
98006,4377.0,5.0,144.348531,729.5
98004,4058.0,289.0,232.6557565,13.993103448275862
98115,3950.0,5.0,100.7467087,658.3333333333334
98074,3665.0,4.0,166.4153513,733.0
98072,3573.0,19.0,112.4042975,178.65
98034,3519.0,30.0,84.52172511,113.51612903225806
98040,3196.0,5.0,249.8815271,532.6666666666666
98075,3128.0,5.0,176.3559039,521.3333333333334
98103,3082.0,24.0,85.42767318,123.28
98021,3042.0,5.0,86.8690407,507.0
98188,2953.0,34.0,43.71769912,84.37142857142857
98059,2933.0,2.0,87.89628123,977.6666666666666
98029,2861.0,11.0,118.7589571,238.41666666666666
98501,2824.0,20.0,64.92450928,134.47619047619048
98117,2625.0,4.0,93.9535877,525.0
98053,2564.0,2.0,164.3763521,854.6666666666666
98607,2503.0,10.0,101.7089046,227.54545454545453
98027,2480.0,25.0,110.8965443,95.38461538461539
98110,2469.0,9.0,132.3692308,246.9
98038,2396.0,1.0,87.87348742,1198.0
98258,2360.0,8.0,66.96072134,262.22222222222223
98008,2330.0,6.0,107.2863561,332.85714285714283
98391,2323.0,6.0,73.89763817,331.85714285714283
98042,2237.0,3.0,71.04035332,559.25
98118,2226.0,8.0,56.95778073,247.33333333333334
98125,2204.0,14.0,64.3982,146.93333333333334
98133,2184.0,17.0,55.06720631,121.33333333333333
98105,2094.0,24.0,108.5212338,83.76
98005,2060.0,76.0,130.2840212,26.753246753246753
98112,1996.0,6.0,202.574526,285.14285714285717
98208,1973.0,3.0,62.44006359,493.25
98058,1954.0,4.0,67.77115104,390.8
98109,1935.0,188.0,108.8438562,10.238095238095237
98011,1932.0,25.0,80.98825043,74.3076923076923
98056,1915.0,4.0,72.25529899,383.0
98155,1912.0,4.0,73.53375358,382.4
98026,1895.0,9.0,72.73132791,189.5
98682,1880.0,2.0,51.66163216,626.6666666666666
98087,1848.0,2.0,55.89572262,616.0
98036,1839.0,7.0,61.41713014,229.875
